Designator,Mid X,Mid Y,Rotation,Layer
C1,125.7,-92.2,0.0,top
C2,115.0,-90.0,180.0,top
C3,115.0,-88.0,180.0,top
C4,121.5,-95.75,0.0,top
C5,122.25,-89.4,270.0,top
C6,126.7,-95.2,270.0,top
C7,124.7,-95.2,270.0,top
C8,130.2,-88.6,0.0,top
D1,116.5,-99.0,180.0,top
D2,126.5,-99.75,0.0,top
D4,122.0,-99.75,0.0,top
F1,117.5,-93.75,90.0,top
J1,130.25,-93.98,0.0,top
J2,114.3,-94.005,180.0,top
R1,126.5,-98.0,180.0,top
R3,122.0,-98.0,0.0,top
U1,121.5,-93.0,0.0,top
U2,119.0,-89.5,180.0,top
